Designator,Mid X,Mid Y,Rotation,Layer
A1,674.213831,-102.229089,0.0,top
D1,370.643831,-113.619089,0.0,top
D10,541.953831,-113.619089,0.0,top
D11,561.953831,-113.619089,0.0,top
D12,579.453831,-113.619089,0.0,top
D13,598.143831,-113.619089,0.0,top
D14,626.953831,-113.619089,0.0,top
D15,375.763831,-133.619089,0.0,top
D16,399.453831,-133.619089,0.0,top
D17,418.143831,-133.619089,0.0,top
D18,436.953831,-133.619089,0.0,top
D19,456.953831,-133.619089,0.0,top
D2,389.453831,-113.619089,0.0,top
D20,474.453831,-133.619089,0.0,top
D21,494.453831,-133.619089,0.0,top
D22,514.453831,-133.619089,0.0,top
D23,531.953831,-133.619089,0.0,top
D24,551.153831,-133.319089,0.0,top
D25,569.453831,-133.619089,0.0,top
D26,589.453831,-133.619089,0.0,top
D27,606.953831,-133.619089,0.0,top
D28,630.643831,-133.619089,0.0,top
D29,379.603431,-152.366289,0.0,top
D3,409.453831,-113.619089,0.0,top
D30,404.393831,-153.179089,0.0,top
D31,423.443831,-153.179089,0.0,top
D32,442.493831,-153.179089,0.0,top
D33,461.543831,-153.179089,0.0,top
D34,480.593831,-153.179089,0.0,top
D35,500.913831,-153.179089,0.0,top
D36,518.693831,-153.179089,0.0,top
D37,539.013831,-153.179089,0.0,top
D38,558.063831,-153.179089,0.0,top
D39,575.843831,-153.179089,0.0,top
D4,426.953831,-113.619089,0.0,top
D40,594.893831,-153.179089,0.0,top
D41,625.373831,-153.179089,0.0,top
D42,381.533831,-170.959089,0.0,top
D43,414.553831,-170.959089,0.0,top
D44,432.333831,-170.959089,0.0,top
D45,451.383831,-170.959089,0.0,top
D46,471.703831,-170.959089,0.0,top
D47,489.483831,-170.959089,0.0,top
D48,509.803831,-170.959089,0.0,top
D49,528.853831,-170.959089,0.0,top
D5,446.953831,-113.619089,0.0,top
D50,547.903831,-170.959089,0.0,top
D51,565.683831,-170.959089,0.0,top
D52,586.003831,-170.959089,0.0,top
D53,621.563831,-170.959089,0.0,top
D54,375.183831,-191.279089,0.0,top
D55,400.583831,-191.279089,0.0,top
D56,423.443831,-191.279089,0.0,top
D57,494.563831,-191.279089,0.0,top
D58,570.763831,-191.279089,0.0,top
D59,596.163831,-191.279089,0.0,top
D6,466.953831,-113.619089,0.0,top
D60,619.023831,-191.279089,0.0,top
D61,641.883831,-191.279089,0.0,top
D7,484.453831,-113.619089,0.0,top
D8,504.453831,-113.619089,0.0,top
D9,524.453831,-113.619089,0.0,top
S1,628.720742,-105.476823,0.0,top
S2,626.290983,-143.814822,0.0,top
S3,383.458521,-162.859955,0.0,top
S4,621.591987,-162.881996,0.0,top
S5,495.516331,-181.751039,0.0,top
SW1,371.5,-102.73195,0.0,top
SW10,542.95,-102.73195,0.0,top
SW11,562.0,-102.73195,0.0,top
SW12,581.05,-102.73195,0.0,top
SW13,600.1,-102.73195,0.0,top
SW14,628.720742,-102.726823,0.0,top
SW15,376.307742,-121.776823,0.0,top
SW16,400.119742,-121.776823,0.0,top
SW17,419.169742,-121.776823,0.0,top
SW18,438.219742,-121.776823,0.0,top
SW19,457.269742,-121.776823,0.0,top
SW2,390.55,-102.73195,0.0,top
SW20,476.319742,-121.776823,0.0,top
SW21,495.369742,-121.776823,0.0,top
SW22,514.419742,-121.776823,0.0,top
SW23,533.469742,-121.776823,0.0,top
SW24,552.519742,-121.776823,0.0,top
SW25,571.569742,-121.776823,0.0,top
SW26,590.619742,-121.776823,0.0,top
SW27,609.669742,-121.776823,0.0,top
SW28,633.481742,-121.776823,0.0,top
SW29,378.638742,-140.826823,0.0,top
SW3,409.6,-102.73195,0.0,top
SW30,404.832742,-140.826823,0.0,top
SW31,423.882742,-140.826823,0.0,top
SW32,442.932742,-140.826823,0.0,top
SW33,461.982742,-140.826823,0.0,top
SW34,481.032742,-140.826823,0.0,top
SW35,500.082742,-140.826823,0.0,top
SW36,519.132742,-140.826823,0.0,top
SW37,538.182742,-140.826823,0.0,top
SW38,557.232742,-140.826823,0.0,top
SW39,576.282742,-140.826823,0.0,top
SW4,428.65,-102.73195,0.0,top
SW40,595.332742,-140.826823,0.0,top
SW41,626.290983,-140.826822,0.0,top
SW42,383.458521,-159.871955,0.0,top
SW43,414.411451,-159.893997,0.0,top
SW44,433.461451,-159.893997,0.0,top
SW45,452.511451,-159.893997,0.0,top
SW46,471.561451,-159.893997,0.0,top
SW47,490.611451,-159.893997,0.0,top
SW48,509.661451,-159.893997,0.0,top
SW49,528.711451,-159.893997,0.0,top
SW5,447.7,-102.73195,0.0,top
SW50,547.761451,-159.893997,0.0,top
SW51,566.811451,-159.893997,0.0,top
SW52,585.861451,-159.893997,0.0,top
SW53,621.591987,-159.893996,0.0,top
SW54,376.329487,-178.998996,0.0,top
SW55,400.141987,-178.998996,0.0,top
SW56,423.954487,-178.998996,0.0,top
SW57,495.516331,-179.001039,0.0,top
SW58,571.716331,-179.001039,0.0,top
SW59,595.528831,-179.001039,0.0,top
SW6,466.75,-102.73195,0.0,top
SW60,619.341331,-179.001039,0.0,top
SW61,643.153831,-179.001039,0.0,top
SW7,485.8,-102.73195,0.0,top
SW8,504.85,-102.73195,0.0,top
SW9,523.9,-102.73195,0.0,top
